# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,alt_m,speed_mps,sats,fix,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,nan,nan,nan
5400,nan,nan,nan,nan,0,0,0.410132,-0.544352,-5.064885,-0.671756,-0.122137,-0.030534,-0.951071,0.937530,0.042761,-179.9531,-0.0048,89.9980
5500,nan,nan,nan,nan,0,0,0.443862,-0.552095,-5.189045,-0.656488,-0.015267,-0.076336,-2.111943,1.763734,0.109459,-179.4824,-0.0629,89.9825
5600,nan,nan,nan,nan,0,0,0.423986,-0.549713,-5.190222,-0.732824,-0.282443,-0.045802,-3.182408,2.506739,0.195568,-179.0194,-0.0942,89.9638
5700,nan,nan,nan,nan,0,0,0.459523,-0.563412,-5.182572,-0.595420,0.007634,-0.038168,-4.169400,3.194387,0.298183,-178.5426,-0.1543,89.9434
5800,nan,nan,nan,nan,0,0,0.445669,-0.570560,-5.196106,-0.587786,0.030534,-0.030534,-5.094171,3.819466,0.407763,-178.0650,-0.2164,89.9217
5900,nan,nan,nan,nan,0,0,0.443862,-0.553882,-5.184926,-0.709924,-0.122137,-0.045802,-5.956849,4.402925,0.522893,-177.5997,-0.2633,89.9017
6000,nan,nan,nan,nan,0,0,0.438442,-0.560434,-5.189045,-0.595420,-0.007634,-0.015267,-6.735464,4.924444,0.653480,-177.1228,-0.3212,89.8776
6100,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan
6200,nan,nan,nan,nan,0,0,0.431816,-0.562817,-5.196106,-0.694656,-0.129771,-0.030534,-8.154694,5.877141,0.915309,-176.6558,-0.3668,89.8553
6300,nan,nan,nan,nan,0,0,0.434828,-0.561030,-5.197872,-0.656488,-0.129771,-0.038168,-8.787908,6.294935,1.049894,-176.1850,-0.4123,89.8333
6400,nan,nan,nan,nan,0,0,0.422781,-0.540779,-5.197283,-0.648855,-0.122137,-0.053435,-9.372077,6.699603,1.192169,-175.7135,-0.4585,89.8125
6500,nan,nan,nan,nan,0,0,0.427600,-0.567582,-5.176688,-0.610687,-0.030534,-0.038168,-9.942537,7.083563,1.335859,-175.2380,-0.5135,89.7890
