time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
7136,55.590774,37.672744,2.206257,1.246182,8.989030,-0.076336,-0.015267,-0.015267,0.282425,10.763463,1.403749
7236,55.590774,37.672744,2.209848,1.240196,8.978257,-0.076336,-0.015267,-0.015267,0.276420,11.037483,1.527039
7336,55.590774,37.672744,2.196680,1.221043,8.983045,-0.061069,-0.015267,-0.015267,0.233972,11.298296,1.568280
7436,55.590774,37.672744,2.234987,1.231817,8.986637,-0.061069,-0.015267,-0.015267,0.264760,11.550244,1.695331
7536,55.590774,37.672744,2.213439,1.240196,8.966286,-0.061069,-0.015267,-0.015267,0.282127,11.768233,1.831385
7636,55.590774,37.672744,2.203863,1.231817,8.986637,-0.061069,-0.015267,-0.015267,0.264085,11.965209,1.970997
7736,55.590774,37.672744,2.212242,1.246182,8.967483,-0.061069,-0.015267,-0.015267,0.302643,12.161210,2.097695
7836,55.590774,37.672744,2.208651,1.228225,8.941146,-0.061069,-0.015267,-0.015267,0.286186,12.351957,2.245250
7936,55.590774,37.672744,2.206257,1.231817,8.957906,-0.061069,-0.015267,-0.015267,0.310719,12.513375,2.373756
8036,55.590774,37.672744,2.195483,1.248576,9.011775,-0.061069,-0.015267,-0.015267,0.336396,12.673933,2.509010
8136,55.590774,37.672744,2.223016,1.254562,8.965088,-0.061069,-0.015267,-0.015267,0.370281,12.828039,2.651134
8236,55.590774,37.672744,2.212242,1.235408,8.983045,-0.061069,-0.015267,-0.015267,0.354328,12.969380,2.799029
8336,55.590774,37.672744,2.219425,1.238999,8.968680,-0.076336,-0.015267,-0.015267,0.366876,13.096143,2.943868
8436,55.590774,37.672744,2.203863,1.244985,8.923191,-0.076336,-0.015267,-0.015267,0.364856,13.201622,3.089923
8536,55.590774,37.672744,2.208651,1.237802,8.957906,-0.061069,-0.015267,-0.015267,0.370239,13.306903,3.235257
8636,55.590774,37.672744,2.224213,1.242591,8.989030,-0.076336,-0.015267,-0.015267,0.377831,13.419835,3.395574
8736,55.590774,37.672744,2.214637,1.246182,8.968680,-0.076336,-0.015267,-0.015267,0.383111,13.504257,3.541117
