# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,alt_m,speed_mps,sats,fix,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,nan,nan,nan
5399,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan
5499,55.590812,37.672641,167.300003,0.000000,6,1,0.306533,-0.083929,-5.237297,-0.694656,-0.297710,-0.007634,-1.363150,1.553661,0.102440,-179.5332,-0.0299,89.9778
5599,55.590812,37.672641,167.300003,0.000000,6,1,0.319182,-0.110732,-5.260245,-0.793893,-0.343511,-0.114504,-2.020706,2.134802,0.135624,-179.0763,-0.0551,89.9660
5699,55.590812,37.672641,167.300003,0.000000,6,1,0.310147,-0.092268,-5.232000,-0.702290,-0.145038,-0.061069,-2.663563,2.794032,0.225967,-178.6102,-0.1000,89.9483
5799,55.590812,37.672641,167.300003,0.000000,6,1,0.316170,-0.114902,-5.306144,-0.587786,-0.129771,-0.167939,-3.342425,3.298836,0.285275,-178.1326,-0.1466,89.9409
5899,55.590812,37.672641,167.300003,0.000000,6,1,0.292680,-0.096437,-5.202579,-0.625954,0.167939,0.045802,-3.823468,3.848067,0.415614,-177.6589,-0.2221,89.9107
5999,55.590812,37.672641,167.300003,0.000000,6,1,0.242085,-0.090481,-5.291433,-0.343511,-0.236641,0.068702,-4.314141,4.149967,0.457511,-177.1568,-0.2568,89.8793
6099,55.590812,37.672641,167.300003,0.000000,6,1,0.407121,-0.095842,-5.230236,-0.648855,-0.076336,-0.267176,-4.813469,4.793840,0.502875,-176.6854,-0.3091,89.8804
6199,55.590812,37.672641,167.300003,0.000000,6,1,0.257745,-0.162552,-5.292021,-0.427481,-0.183206,-0.213740,-5.289870,4.999179,0.574402,-176.1918,-0.3503,89.8763
6299,55.590812,37.672641,167.300003,0.000000,6,1,0.283645,-0.090481,-5.471494,-0.160305,-0.106870,-0.053435,-5.664093,5.193345,0.565277,-175.6714,-0.3980,89.8553
6400,55.590812,37.672641,167.300003,0.000000,6,1,0.125837,0.041749,-5.074888,-0.083969,0.251908,0.580153,-5.294859,5.091100,-0.002662,-175.1376,-0.4770,89.7670
6500,55.590812,37.672641,167.300003,0.000000,6,1,0.191490,-0.110137,-5.184926,-0.366412,-0.312977,-0.022901,-5.817030,5.586915,-0.339782,-174.6377,-0.5035,89.7439
6600,55.590812,37.672641,167.300003,0.000000,6,1,0.209560,-0.041639,-5.299082,-0.442748,-0.244275,1.755725,-6.064738,5.573405,-1.218369,-174.1439,-0.5192,89.5430
6700,55.590812,37.672641,167.300003,0.000000,6,1,0.695632,-0.397827,-5.357926,1.526718,0.419847,0.099237,-8.273959,8.454653,-1.478533,-173.4545,-0.6168,89.4994
6800,55.590812,37.672641,167.300003,0.000000,6,1,0.672744,-0.094055,-5.102545,0.427481,-0.282443,-0.351145,-7.287788,8.740690,-1.468205,-172.8756,-0.6496,89.5078
6900,55.590812,37.672641,167.300003,0.000000,6,1,0.459523,0.035197,-5.108429,1.030534,3.709924,-0.083969,-6.484189,8.364678,-0.689751,-172.2352,-1.0748,89.4376
7000,55.590812,37.672641,167.300003,0.000000,6,1,0.302317,-0.001732,-5.283195,0.366412,1.175572,-1.244275,-6.045545,6.939969,-0.575290,-171.6638,-1.2646,89.5133
7100,55.590812,37.672641,167.300003,0.000000,6,1,-0.020527,0.136455,-5.328504,1.343511,2.847328,2.916031,-5.491332,6.170387,-0.918796,-170.9842,-1.5577,89.1504
7200,55.590812,37.672641,167.300003,0.000000,6,1,0.288464,0.169215,-5.411473,2.450382,2.816794,4.534351,-5.225306,5.622269,-2.023925,-170.1874,-1.8166,88.6244
7300,55.590812,37.672641,167.300003,0.000000,6,1,0.030670,0.298467,-5.227882,-0.839695,5.129771,0.618321,-4.920093,4.031337,-2.164425,-169.7284,-2.3658,88.4410
7400,55.590812,37.672641,167.300003,0.000000,6,1,-0.087987,0.281193,-5.333800,-0.320611,-1.854962,-0.106870,-5.716418,4.112420,-2.543255,-169.2246,-2.2399,88.4520
7538,55.590812,37.672637,167.500000,0.000000,6,1,0.090902,0.175171,-5.136085,-0.938931,1.595420,-0.061069,-6.337440,5.311952,-2.479491,-168.6107,-2.5324,88.3710
7638,55.590812,37.672637,167.500000,0.000000,6,1,-0.034380,0.160280,-5.400881,-2.587786,-0.404580,0.190840,-6.921035,4.674930,-2.471150,-168.3312,-2.5430,88.3260
7738,55.590812,37.672637,167.500000,0.000000,6,1,0.367970,0.622490,-5.477378,-4.267176,-2.091603,-2.374046,-8.019614,5.495270,-1.291194,-168.2321,-2.4402,88.5666
7838,55.590812,37.672637,167.500000,0.000000,6,1,-0.174119,-0.478237,-5.130790,1.595420,0.534351,-5.274809,-8.076622,6.369189,1.778905,-167.5572,-2.6567,89.0367
7938,55.590812,37.672637,167.500000,0.000000,6,1,-0.049438,-0.028535,-5.251419,-3.541985,0.381679,-1.885496,-8.480366,5.082663,4.606067,-167.3818,-2.7883,89.1774
8038,55.590812,37.672637,167.500000,0.000000,6,1,0.455909,0.478943,-5.761592,-7.351145,1.381679,2.908397,-10.253806,3.467440,4.887306,-167.5632,-2.9134,88.8278
8138,55.590812,37.672637,167.500000,0.000000,6,1,-0.772826,-1.291870,-5.069592,0.954198,0.809160,-0.541985,-13.081166,2.238106,3.605077,-166.9315,-3.0575,88.8272
8238,55.590812,37.672637,167.500000,0.000000,6,1,-0.275309,0.044132,-5.087834,1.114504,-0.770992,-0.267176,-11.667353,1.827456,2.652857,-166.2841,-3.0415,88.8350
8338,55.590812,37.672637,167.500000,0.000000,6,1,-0.101840,0.064979,-5.476202,-3.305344,0.671756,0.618321,-11.539186,2.141939,3.332156,-166.0723,-3.1445,88.7223
8438,55.590812,37.672637,167.500000,0.000000,6,1,-0.578276,-0.730189,-5.021929,0.236641,-1.404580,-0.251908,-12.842580,2.200752,3.633370,-165.5135,-3.0669,88.7443
8538,55.590812,37.672637,167.500000,0.000000,6,1,-0.262058,-0.424035,-5.272603,0.419847,-0.076336,0.824427,-13.093868,2.446226,3.444285,-164.9291,-3.0904,88.6290
8638,55.590812,37.672637,167.500000,0.000000,6,1,-0.379510,-0.527079,-5.228470,1.709924,-1.312977,2.061069,-12.875076,2.379645,2.418020,-164.2111,-2.9605,88.4271
8738,55.590812,37.672637,167.500000,0.000000,6,1,-0.294583,-0.239984,-5.234943,0.862595,-0.961832,0.183206,-11.997074,2.809738,1.859085,-163.5871,-2.9141,88.3975
8838,55.590812,37.672637,167.500000,0.000000,6,1,-0.295788,-0.290017,-5.127259,1.305343,-2.282443,1.068702,-11.477444,3.417560,1.510297,-162.9165,-2.7153,88.3218
8938,55.590812,37.672637,167.500000,0.000000,6,1,-0.236760,-0.114306,-5.232589,1.625954,-1.114504,0.106870,-10.569416,4.063232,0.923125,-162.2168,-2.6559,88.3052
9038,55.590812,37.672637,167.500000,0.000000,6,1,-0.174119,0.150154,-5.156093,0.793893,-0.343511,-0.297710,-9.740112,4.072028,0.687197,-161.6011,-2.6822,88.3039
9138,55.590812,37.672637,167.500000,0.000000,6,1,-0.105454,-0.028535,-5.203167,0.938931,-1.114504,-0.297710,-9.397998,4.554142,0.895784,-160.9720,-2.6355,88.3270
9238,55.590812,37.672637,167.500000,0.000000,6,1,-0.233749,-0.125027,-5.126082,1.900763,-0.511450,0.778626,-8.838032,4.393419,0.777981,-160.2411,-2.6101,88.2290
9338,55.590812,37.672637,167.500000,0.000000,6,1,-0.158459,0.186488,-5.197283,0.480916,0.221374,0.381679,-7.298292,4.320024,0.359368,-159.6528,-2.6661,88.1435
9454,55.590812,37.672637,167.500000,0.000000,6,1,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan
9554,55.590812,37.672637,167.500000,0.000000,6,1,-0.167493,0.414615,-5.157858,0.114504,-0.580153,-0.580153,-5.531361,4.429217,-0.100771,-159.1066,-2.6801,88.1758
9654,55.590812,37.672637,167.500000,0.000000,6,1,-0.165084,0.562332,-5.326739,-0.244275,-0.412214,-0.549618,-5.155907,4.279425,-0.066139,-158.5958,-2.7090,88.1991
9754,55.590812,37.672637,167.500000,0.000000,6,1,-0.141594,0.544463,-5.149620,-0.954198,-0.801527,-0.809160,-5.013816,4.246872,-0.030925,-158.1579,-2.7114,88.2606
9854,55.590812,37.672637,167.500000,0.000000,6,1,-0.151231,0.528976,-5.219644,-1.122137,-0.847328,-1.412214,-5.277346,4.497481,0.291364,-157.7395,-2.7327,88.3798
9954,55.590812,37.672637,167.500000,0.000000,6,1,-0.177733,0.361604,-5.302613,-0.343511,-0.198473,-0.931298,-5.644216,4.529842,0.971914,-157.2399,-2.7964,88.4295
10054,55.590812,37.672637,167.500000,0.000000,6,1,-0.212065,0.251412,-5.244946,-0.923664,-0.374046,0.038168,-5.775155,4.472962,1.218797,-156.7944,-2.8066,88.3961
10155,55.590812,37.672637,167.500000,0.000000,6,1,-0.100033,0.387812,-5.313205,-1.007634,-0.175573,-0.396947,-6.087576,4.547180,1.143878,-156.3544,-2.8524,88.3948
10255,55.590812,37.672637,167.500000,0.000000,6,1,-0.148821,0.322888,-5.323208,-0.763359,0.435115,-0.190840,-5.990236,4.512689,1.292020,-155.8922,-2.9453,88.3495
10355,55.590812,37.672637,167.500000,0.000000,6,1,-0.195200,0.401511,-5.297317,-0.740458,-0.022901,-0.152672,-5.666644,4.351350,1.306427,-155.4283,-2.9945,88.3188
10455,55.590812,37.672637,167.500000,0.000000,6,1,-0.149424,0.401511,-5.372048,-0.923664,0.099237,-0.564885,-5.491301,4.430215,1.660731,-154.9845,-3.0719,88.3201
10555,55.590812,37.672637,167.500000,0.000000,6,1,-0.179540,0.379473,-5.372636,-1.145038,0.068702,0.068702,-5.338024,4.427269,1.626970,-154.5597,-3.1195,88.2647
10655,55.590812,37.672637,167.500000,0.000000,6,1,-0.179540,0.461074,-5.313205,-1.038168,-0.007634,-0.015267,-5.217080,4.426561,1.482521,-154.1248,-3.1634,88.2198
10755,55.590812,37.672637,167.500000,0.000000,6,1,-0.131354,0.424145,-5.273779,-0.816794,-0.343511,0.251908,-5.181408,4.746156,1.461236,-153.6671,-3.1650,88.1654
10855,55.590812,37.672637,167.500000,0.000000,6,1,-0.136775,0.361008,-5.262011,-0.503817,0.229008,-0.229008,-5.441161,4.555432,1.665038,-153.1792,-3.2390,88.1284
10955,55.590812,37.672637,167.500000,0.000000,6,1,-0.166289,0.350882,-5.277899,-0.274809,0.213740,-0.091603,-5.518810,4.446513,1.851220,-152.6676,-3.3049,88.0792
11055,55.590812,37.672637,167.500000,0.000000,6,1,-0.209054,0.393768,-5.179042,-0.404580,-0.473282,-0.167939,-5.526889,4.330018,2.034434,-152.1711,-3.3131,88.0680
11155,55.590812,37.672637,167.500000,0.000000,6,1,-0.180744,0.399129,-5.206110,-0.412214,-0.450382,-0.114504,-5.314468,4.427877,2.241744,-151.6750,-3.3207,88.0510
11255,55.590812,37.672637,167.500000,0.000000,6,1,-0.196405,0.390790,-5.323208,-0.206107,-0.541985,-0.099237,-5.620268,4.516973,2.124480,-151.1585,-3.3194,88.0369
11355,55.590812,37.672637,167.500000,0.000000,6,1,-0.137980,0.436653,-5.260245,-0.595420,-0.083969,-0.053435,-5.520252,4.648677,2.134530,-150.6794,-3.3558,87.9966
11545,55.590812,37.672637,167.500000,0.000000,6,1,-0.134968,0.347309,-5.459725,-1.435114,0.274809,-0.366412,-5.613258,4.858141,2.394198,-149.9296,-3.5127,87.9371
11645,55.590812,37.672637,167.500000,0.000000,6,1,-0.148821,0.366964,-5.294963,-1.213740,0.274809,0.045802,-5.638986,4.661621,2.503551,-149.5105,-3.5742,87.8692
11745,55.590812,37.672637,167.500000,0.000000,6,1,-0.163879,0.337778,-5.265542,-0.595420,0.038168,0.267176,-5.635791,4.596905,2.604948,-149.0290,-3.6035,87.7940
11845,55.590812,37.672637,167.500000,0.000000,6,1,-0.150628,0.272855,-5.369695,-0.702290,0.351145,0.320611,-5.630699,4.582388,2.736738,-148.5569,-3.6561,87.6976
11945,55.590812,37.672637,167.500000,0.000000,6,1,-0.201826,0.309188,-5.284960,-0.564885,0.045802,-0.114504,-5.628635,4.557509,2.798254,-148.0743,-3.7049,87.6540
12045,55.590812,37.672637,167.500000,0.000000,6,1,-0.173517,0.346117,-5.289667,-0.435115,-0.259542,0.175573,-5.592713,4.516995,2.836926,-147.5781,-3.7120,87.6017
12145,55.590812,37.672637,167.500000,0.000000,6,1,-0.147014,0.338374,-5.266718,-0.755725,-0.007634,0.099237,-5.445559,4.508245,3.005759,-147.1135,-3.7439,87.5421
12246,55.590812,37.672637,167.500000,0.000000,6,1,-0.236158,0.280002,-5.302024,-0.114504,0.091603,0.099237,-5.541936,4.397200,3.115511,-146.5791,-3.7841,87.4762
12346,55.590812,37.672637,167.500000,0.000000,6,1,-0.184358,0.387812,-5.287313,-0.679389,0.030534,-0.053435,-5.366269,4.359516,3.135625,-146.1075,-3.8266,87.4267
12446,55.590812,37.672637,167.500000,0.000000,6,1,-0.206644,0.438440,-5.289667,-0.465649,-0.030534,-0.290076,-5.202113,4.386100,3.187127,-145.6159,-3.8770,87.3999
12546,55.590812,37.672637,167.500000,0.000000,6,1,-0.209656,0.419976,-5.283783,-0.480916,-0.366412,-0.236641,-5.001017,4.481801,3.247505,-145.1269,-3.8964,87.3873
12646,55.590812,37.672637,167.500000,0.000000,6,1,-0.144605,0.526594,-5.323797,-1.000000,-0.145038,-0.229008,-4.682844,4.545111,3.267364,-144.6888,-3.9335,87.3613
12746,55.590812,37.672637,167.500000,0.000000,6,1,-0.209656,0.414615,-5.316147,-0.290076,0.152672,-0.091603,-4.595577,4.607595,3.309047,-144.1777,-3.9865,87.3064
12846,55.590812,37.672637,167.500000,0.000000,6,1,-0.162675,0.470009,-5.252596,-0.595420,-0.114504,-0.114504,-4.509337,4.614433,3.355366,-143.6984,-4.0188,87.2686
