# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
5398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5500,55.982559,37.413028,nan,nan,nan,nan,nan,nan,nan,nan,nan
5600,55.982559,37.413028,0.205901,-0.912191,9.269152,-0.076336,-0.015267,-0.015267,-2.377998,0.400185,0.085199
5700,55.982559,37.413028,0.207098,-0.924162,9.275137,-0.061069,-0.015267,-0.015267,-3.154489,0.513286,0.118944
5800,55.982559,37.413028,0.214281,-0.921768,9.258378,-0.061069,-0.015267,-0.015267,-3.875059,0.619404,0.146651
5900,55.982559,37.413028,0.217872,-0.907402,9.279926,-0.076336,-0.015267,-0.015267,-4.539896,0.718975,0.182048
6000,55.982559,37.413028,0.208296,-0.918176,9.265561,-0.061069,-0.015267,-0.015267,-5.155552,0.811380,0.210873
6100,55.982559,37.413028,0.214281,-0.908600,9.271547,-0.061069,-0.015267,-0.015267,-5.722523,0.897282,0.246950
6200,55.982559,37.413028,0.222661,-0.919373,9.271547,-0.076336,-0.015267,-0.015267,-6.254930,0.983397,0.283595
6300,55.982559,37.413028,0.205901,-0.925359,9.271547,-0.076336,-0.015267,-0.015267,-6.759038,1.055632,0.319865
6400,55.982559,37.413028,0.211887,-0.918176,9.275137,-0.076336,-0.015267,-0.015267,-7.221302,1.120559,0.348911
6500,55.982559,37.413028,0.210690,-0.908600,9.264364,-0.061069,-0.015267,-0.015267,-7.641595,1.185998,0.385017
6600,55.982559,37.413028,0.211887,-0.924162,9.264364,-0.061069,-0.015267,-0.015267,-8.040872,1.245063,0.427834
6700,55.982559,37.413028,0.219069,-0.910994,9.251195,-0.076336,-0.015267,-0.015267,-8.405318,1.303743,0.463677
6800,55.982559,37.413028,0.209493,-0.909797,9.279926,-0.061069,-0.015267,-0.015267,-8.741345,1.348471,0.498392
6900,55.982559,37.413028,0.222661,-0.915782,9.259575,-0.076336,-0.015267,-0.015267,-9.063922,1.400350,0.533824
7000,55.982559,37.413028,0.210690,-0.913388,9.273941,-0.061069,-0.015267,-0.015267,-9.358053,1.445230,0.568523
7100,55.982559,37.413028,0.223858,-0.908600,9.264364,-0.076336,-0.015267,-0.015267,-9.624855,1.490249,0.603217
7200,55.982559,37.413028,0.219069,-0.913388,9.279926,-0.061069,-0.015267,-0.015267,-9.877143,1.528277,0.637208
7300,55.982559,37.413028,0.210690,-0.913388,9.271547,-0.076336,-0.015267,-0.015267,-10.108408,1.566965,0.678062
7400,55.982559,37.413028,0.216675,-0.910994,9.248802,-0.061069,-0.015267,-0.015267,-10.346727,1.605157,0.712145
7568,55.982559,37.413028,0.214281,-0.920571,9.257182,-0.061069,-0.015267,-0.015267,-10.661981,1.652650,0.768925
7668,55.982559,37.413028,0.202310,-0.910994,9.282320,-0.076336,-0.015267,-0.015267,-10.844580,1.676985,0.801301
7768,55.982559,37.413028,0.215478,-0.910994,9.276335,-0.061069,-0.015267,-0.015267,-11.005511,1.701894,0.840293
7868,55.982559,37.413028,0.210690,-0.908600,9.255984,-0.076336,-0.015267,-0.015267,-11.159593,1.719225,0.871599
7968,55.982559,37.413028,0.209493,-0.919373,9.277532,-0.061069,-0.015267,-0.015267,-11.306679,1.743555,0.903537
8068,55.982559,37.413028,0.213084,-0.918176,9.282320,-0.061069,-0.015267,-0.015267,-11.439829,1.767894,0.935352
8168,55.982559,37.413028,0.208296,-0.913388,9.271547,-0.061069,-0.015267,-0.015267,-11.566038,1.785304,0.966417
8268,55.982559,37.413028,0.216675,-0.909797,9.263167,-0.061069,-0.015267,-0.015267,-11.678208,1.803423,1.004302
8368,55.982559,37.413028,0.215478,-0.912191,9.259575,-0.076336,-0.015267,-0.015267,-11.782838,1.813785,1.034251
8468,55.982559,37.413028,0.217872,-0.913388,9.263167,-0.061069,-0.015267,-0.015267,-11.881192,1.831234,1.065047
8568,55.982559,37.413028,0.214281,-0.914585,9.271547,-0.076336,-0.015267,-0.015267,-11.971739,1.849306,1.102531
8668,55.982559,37.413028,0.208296,-0.909797,9.275137,-0.061069,-0.015267,-0.015267,-12.063161,1.859856,1.132549
8768,55.982559,37.413028,0.210690,-0.916979,9.266758,-0.061069,-0.015267,-0.015267,-12.139926,1.870258,1.162197
8868,55.982559,37.413028,0.217872,-0.910994,9.270349,-0.076336,-0.015267,-0.015267,-12.209611,1.881401,1.198723
8968,55.982559,37.413028,0.226252,-0.918176,9.271547,-0.076336,-0.015267,-0.015267,-12.279370,1.898788,1.229044
9068,55.982559,37.413028,0.211887,-0.906205,9.266758,-0.076336,-0.015267,-0.015267,-12.342085,1.909965,1.265498
9168,55.982559,37.413028,0.204704,-0.918176,9.271547,-0.061069,-0.015267,-0.015267,-12.397957,1.920381,1.294924
9268,55.982559,37.413028,0.209493,-0.919373,9.264364,-0.076336,-0.015267,-0.015267,-12.453870,1.923870,1.323594
9368,55.982559,37.413028,0.209493,-0.919373,9.269152,-0.076336,-0.015267,-0.015267,-12.509659,1.928147,1.359212
9468,55.982559,37.413028,nan,nan,nan,nan,nan,nan,nan,nan,nan
9568,55.982559,37.413028,nan,nan,nan,nan,nan,nan,nan,nan,nan
9668,55.982559,37.413028,0.211887,-0.910994,9.266758,-0.076336,-0.015267,-0.015267,-12.634665,1.953105,1.452976
9768,55.982559,37.413028,0.221464,-0.909797,9.271547,-0.061069,-0.015267,-0.015267,-12.676657,1.956617,1.481490
