# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,gnss_speed_mps,gnss_vn_mps,gnss_ve_mps,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
103552,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.466028,-0.472855,8.925584,0.061069,0.015267,-0.061069,-5.231190,-14.218012,219.710006
103652,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.206257,-0.542287,8.955512,-0.091603,-0.030534,0.045802,-5.074901,-14.172240,219.714584
103752,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.579752,-0.548272,8.798691,0.076336,0.015267,-0.045802,-4.902108,-14.307909,219.710006
103852,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.104503,-0.453701,9.114727,-0.030534,-0.015267,-0.015267,-4.700505,-14.282413,219.708480
103952,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.649184,-0.684742,8.661026,0.000000,0.000000,0.030534,-4.677535,-14.384296,219.711532
104052,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.382231,-0.538695,8.904037,0.061069,0.015267,-0.106870,-4.472013,-14.533779,219.700851
104152,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.549825,-0.762553,8.811860,-0.091603,-0.015267,0.061069,-4.501483,-14.571363,219.706954
104252,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.420538,-0.626084,8.844182,0.030534,0.000000,-0.030534,-4.401170,-14.780934,219.703903
104352,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.765303,-0.718261,8.728063,-0.030534,-0.015267,-0.030534,-4.399556,-14.984198,219.700851
104452,55.591011,37.671955,0.787100,-0.605506,-0.502880,-2.887407,-0.806846,8.608353,0.000000,0.000000,-0.030534,-4.415443,-15.247625,219.697799
104552,55.591011,37.671955,0.787100,-0.605506,-0.502880,-3.099294,-0.695516,8.796298,0.030534,0.000000,-0.030534,-4.386157,-15.592951,219.694747
104652,55.591011,37.671955,0.787100,-0.605506,-0.502880,-3.094506,-0.847547,8.504205,0.015267,0.000000,-0.030534,-4.447923,-15.921760,219.691696
