time_ms,lat,lon,alt_m,speed_mps,sats,fix,ax,ay,az,gx,gy,gz,acc_nav_x,acc_nav_y,acc_nav_z,roll_deg,pitch_deg,yaw_deg
442,nan,nan,nan,nan,0,0,1.001973,-0.111330,9.311051,-5.954198,-3.938931,-0.793893,0.995557,-0.101792,-0.494802,-0.0595,-0.0394,-0.0079
542,nan,nan,nan,nan,0,0,0.979228,-0.057461,9.141062,-3.358778,2.732824,-0.717557,1.016531,0.004199,-0.669481,-0.3954,0.2338,-0.0800
642,nan,nan,nan,nan,0,0,0.906205,-0.256180,9.301474,-4.503816,-1.007634,0.213740,0.927713,-0.119809,-0.504540,-0.8457,0.1332,-0.0579
742,nan,nan,nan,nan,0,0,0.998382,-0.223858,9.374497,-4.167939,-1.938931,-0.152672,0.988394,-0.018471,-0.428441,-1.2625,-0.0609,-0.0703
842,nan,nan,nan,nan,0,0,0.919373,-0.150835,9.211691,-5.221374,-0.320611,-0.274809,0.904560,0.134576,-0.593241,-1.7846,-0.0936,-0.0971
942,nan,nan,nan,nan,0,0,1.000776,-0.098162,9.042901,-4.778625,1.038168,-0.625954,1.002812,0.256035,-0.767067,-2.2623,0.0083,-0.1629
1042,nan,nan,nan,nan,0,0,1.057040,-0.254982,9.435549,-5.923664,-3.312977,0.488550,1.004559,0.213487,-0.364340,-2.8547,-0.3208,-0.1010
1142,nan,nan,nan,nan,0,0,0.946907,-0.067038,9.425972,-5.816794,-1.877863,0.717557,0.864108,0.497851,-0.385634,-3.4368,-0.5048,-0.0200
1242,nan,nan,nan,nan,0,0,0.895431,-0.241814,9.068039,-6.931298,-3.206107,0.259542,0.764948,0.412285,-0.732815,-4.1304,-0.8233,0.0252
1342,nan,nan,nan,nan,0,0,0.940921,-0.209493,9.012972,-5.221374,-2.320611,-0.290076,0.774638,0.522408,-0.790558,-4.6523,-1.0569,0.0129
1442,nan,nan,nan,nan,0,0,0.967257,-0.287304,9.301474,-5.145038,-1.404580,0.091603,0.772810,0.552030,-0.498934,-5.1672,-1.1961,0.0335
1542,nan,nan,nan,nan,0,0,0.916979,-0.199916,9.258378,-6.503817,-2.351145,-0.503817,0.685496,0.739515,-0.555618,-5.8170,-1.4348,0.0045
1642,nan,nan,nan,nan,0,0,0.969652,-0.146046,9.150639,-5.236641,0.625954,-0.076336,0.751164,0.865260,-0.675230,-6.3403,-1.3733,-0.0095
1742,nan,nan,nan,nan,0,0,0.931344,-0.264559,9.143457,-4.809160,-0.870229,-0.839695,0.698675,0.822000,-0.675584,-6.8194,-1.4691,-0.0833
1842,nan,nan,nan,nan,0,0,0.937330,-0.286107,9.260772,-3.419847,1.022901,-1.007634,0.717962,0.867714,-0.562520,-7.1586,-1.3795,-0.1956
1942,nan,nan,nan,nan,0,0,0.933739,-0.167594,9.306262,-6.870229,-4.427481,-0.122137,0.642637,1.102774,-0.539645,-7.8466,-1.8203,-0.1525
2042,nan,nan,nan,nan,0,0,0.939724,-0.197522,8.998607,-5.022900,-0.427481,-1.465649,0.651429,1.107181,-0.848591,-8.3445,-1.8826,-0.2919
2142,nan,nan,nan,nan,0,0,0.938527,-0.217872,9.238028,-4.900763,-0.366412,-0.641221,0.637064,1.199330,-0.618330,-8.8326,-1.9282,-0.3501
2245,nan,nan,nan,nan,0,0,1.028310,-0.064643,9.418790,-5.633588,-0.763359,-0.106870,0.710774,1.472358,-0.473796,-9.4129,-2.0076,-0.3489
2345,nan,nan,nan,nan,0,0,0.924162,-0.243011,9.149442,-5.969466,1.129771,-0.473282,0.632651,1.346129,-0.728483,-10.0076,-1.9039,-0.4141
2445,nan,nan,nan,nan,0,0,0.922965,-0.197522,9.136274,-5.236641,1.038168,-0.152672,0.650053,1.470459,-0.763555,-10.5302,-1.8043,-0.4472
2545,nan,nan,nan,nan,0,0,0.908600,-0.093374,9.263167,-5.801526,-2.122137,-0.396947,0.600188,1.688740,-0.672731,-11.1103,-2.0202,-0.4474
2646,nan,nan,nan,nan,0,0,0.909797,-0.167594,9.226057,-6.045802,-1.816794,-0.656488,0.573191,1.705249,-0.710523,-11.7199,-2.2130,-0.4772
2746,nan,nan,nan,nan,0,0,1.054646,-0.208296,9.329008,-5.160305,-2.335878,-0.396947,0.676579,1.768182,-0.608725,-12.2363,-2.4498,-0.4686
2846,nan,nan,nan,nan,0,0,0.937330,-0.198719,9.296686,-4.259542,1.175572,0.091603,0.581120,1.839015,-0.661883,-12.6615,-2.3330,-0.4846
2946,nan,nan,nan,nan,0,0,1.023521,-0.190339,9.279926,-4.687023,-0.580153,-0.778626,0.659662,1.916084,-0.691041,-13.1277,-2.4066,-0.5479
3046,nan,nan,nan,nan,0,0,1.016339,-0.240617,9.354146,-3.480916,0.183206,-0.916030,0.652361,1.938031,-0.619194,-13.4718,-2.4096,-0.6413
3146,nan,nan,nan,nan,0,0,1.022324,-0.173580,9.294291,-3.984733,2.274809,-0.396947,0.700246,2.050152,-0.709087,-13.8664,-2.1976,-0.7330
3246,nan,nan,nan,nan,0,0,1.013944,-0.234632,9.388862,-5.801526,-4.320611,0.198473,0.618330,2.109384,-0.619592,-14.4513,-2.6123,-0.6101
3346,nan,nan,nan,nan,0,0,0.936133,-0.178368,9.069236,-5.526718,-0.900763,-0.549618,0.542512,2.169464,-0.965931,-15.0026,-2.7133,-0.6409
3446,nan,nan,nan,nan,0,0,1.036689,-0.160412,9.384074,-5.099236,-1.404580,-0.885496,0.608513,2.347660,-0.680889,-15.5102,-2.8719,-0.6901
3546,nan,nan,nan,nan,0,0,0.968455,0.000000,9.192538,-5.755725,-1.267176,-1.114504,0.535069,2.539552,-0.935064,-16.0820,-3.0238,-0.7637
3646,nan,nan,nan,nan,0,0,0.946907,-0.318429,9.197326,-5.526718,0.198473,-0.290076,0.509974,2.320663,-0.865549,-16.6330,-3.0127,-0.7971
3746,nan,nan,nan,nan,0,0,0.988805,-0.126893,9.168596,-5.465648,-0.213740,-0.564885,0.557522,2.578535,-0.969381,-17.1770,-3.0494,-0.8452
3846,nan,nan,nan,nan,0,0,1.013944,-0.094571,9.270349,-5.648855,-0.442748,-0.412214,0.574346,2.726237,-0.906417,-17.7405,-3.1039,-0.8715
3946,nan,nan,nan,nan,0,0,0.980426,-0.141258,9.206903,-4.870229,-1.664122,-0.778626,0.517832,2.737716,-0.975738,-18.2262,-3.2861,-0.8950
4046,nan,nan,nan,nan,0,0,0.985214,-0.064643,9.224860,-4.778625,-0.183206,-0.076336,0.523779,2.889150,-1.006006,-18.7040,-3.3059,-0.8965
4146,nan,nan,nan,nan,0,0,1.004368,-0.137667,9.378088,-5.877862,-2.809160,-0.030534,0.489869,2.962548,-0.864638,-19.2968,-3.5729,-0.8092
4246,nan,nan,nan,nan,0,0,0.907402,-0.184354,9.257182,-6.580152,-1.877863,0.259542,0.371191,2.982384,-1.002084,-19.9602,-3.7416,-0.7225
4360,55.591163,37.671600,178.699996,nan,11,1,0.985214,-0.134075,9.217677,-5.770992,-2.824427,-0.580153,0.404274,3.116336,-1.084311,-20.6213,-4.0668,-0.6746
