# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,gnss_speed_mps,gnss_vn_mps,gnss_ve_mps,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
62688,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.865439,-0.276530,8.207324,-0.030534,0.015267,-0.030534,-8.987957,-24.223249,133.710006
62788,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.961207,0.043096,8.324640,-0.061069,-0.015267,-0.030534,-8.996729,-24.228576,133.706954
62888,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.873818,-0.207098,8.413226,-0.076336,-0.015267,-0.030534,-9.050942,-24.178180,133.703903
62988,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.829526,-0.193930,8.455123,-0.061069,-0.030534,-0.030534,-9.095920,-24.077142,133.700851
63088,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.670311,-0.345962,8.333020,-0.091603,-0.045802,-0.030534,-9.167991,-23.941232,133.697799
63188,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.490746,-0.231040,8.467095,-0.061069,-0.015267,-0.030534,-9.138996,-23.755004,133.694747
63288,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.266888,-0.305261,8.459912,-0.061069,-0.015267,-0.030534,-9.251130,-23.475858,133.691696
63388,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.372233,-0.521936,8.553286,-0.061069,-0.015267,-0.015267,-9.293708,-23.164886,133.690170
63488,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.513491,-0.293290,8.874109,-0.091603,-0.045802,-0.015267,-9.334070,-22.927328,133.688644
63588,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.414132,-0.447716,8.492234,-0.076336,-0.015267,-0.015267,-9.366681,-22.887252,133.687118
63688,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.621230,-0.283713,8.316260,-0.076336,0.000000,-0.015267,-9.375054,-22.994522,133.685592
63788,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.598485,-0.405817,8.576031,-0.061069,0.000000,-0.030534,-9.443212,-23.009838,133.682540
63888,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.818752,-0.272939,8.504205,-0.091603,-0.045802,-0.015267,-9.518771,-23.011693,133.681015
63988,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.598485,-0.311246,8.362947,-0.076336,-0.030534,-0.030534,-9.527562,-22.969688,133.677963
64088,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.609259,-0.331597,8.441956,-0.076336,-0.030534,-0.030534,-9.602001,-22.823038,133.674911
64188,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.655946,-0.411803,8.693346,-0.061069,0.000000,-0.015267,-9.689799,-22.696313,133.673385
64288,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.646369,-0.430956,8.353370,-0.061069,-0.015267,-0.015267,-9.664211,-22.694353,133.671859
64388,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.560178,-0.387861,8.310275,-0.076336,-0.045802,0.000000,-9.648380,-22.694169,133.671859
64488,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.604471,-0.393846,8.398860,-0.061069,-0.015267,-0.015267,-9.640509,-22.762678,133.670333
64683,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.626019,-0.184354,8.586805,-0.061069,-0.030534,-0.015267,-9.553865,-22.662788,133.667358
64783,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.556587,-0.574608,8.577228,-0.061069,0.000000,0.000000,-9.613214,-22.629604,133.667358
64883,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.464410,-0.336385,8.378509,-0.076336,-0.045802,-0.015267,-9.582896,-22.552705,133.665832
64983,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.608062,-0.301669,8.542512,-0.061069,-0.015267,-0.015267,-9.520760,-22.447549,133.664306
65083,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.568558,-0.257377,8.792706,-0.045802,0.000000,-0.015267,-9.394983,-22.337892,133.662780
65183,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.523068,0.028730,8.720880,-0.061069,0.015267,-0.015267,-9.335070,-22.257377,133.661254
65283,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.541024,-0.187945,8.613142,-0.076336,0.015267,-0.015267,-9.414830,-22.337081,133.659729
65383,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.604471,-0.257377,8.455123,-0.030534,0.030534,-0.030534,-9.488476,-22.454877,133.656677
65483,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.518279,-0.355539,8.297106,-0.076336,-0.045802,-0.015267,-9.458083,-22.405309,133.655151
65583,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.658340,-0.252588,8.678981,-0.061069,-0.045802,-0.015267,-9.345006,-22.228704,133.653625
65683,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.369839,-0.126893,8.588002,-0.091603,-0.030534,-0.015267,-9.418427,-21.943519,133.652099
65783,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.377022,-0.630872,8.483854,-0.076336,0.030534,-0.015267,-9.645187,-21.997049,133.650573
65883,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.429694,-0.323217,8.626309,-0.061069,-0.015267,0.000000,-9.712634,-22.099294,133.650573
65983,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.451242,-0.336385,8.662222,-0.045802,0.015267,-0.015267,-9.677920,-22.150337,133.649047
66083,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.397372,-0.418985,8.668208,-0.091603,-0.076336,0.000000,-9.688981,-21.922927,133.649047
66183,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.256114,-0.502782,8.142681,-0.076336,-0.030534,-0.015267,-9.734850,-21.777572,133.647521
66283,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.391387,-0.304064,8.863335,-0.061069,0.015267,0.000000,-9.796482,-21.634529,133.647521
66383,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.429694,-0.557849,8.853758,-0.045802,0.015267,0.000000,-9.787452,-21.665788,133.647521
66483,55.591365,37.673133,1.178078,-0.814062,0.851569,-3.265691,-0.323217,8.851365,-0.030534,0.030534,0.000000,-9.701080,-21.720485,133.647521
66583,55.591365,37.673133,1.178078,-0.814062,0.851569,nan,nan,nan,nan,nan,nan,nan,nan,133.647521
66686,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.221398,-0.104148,8.112753,-0.091603,-0.045802,-0.015267,-9.491866,-21.809606,133.644424
66786,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.284845,-0.282516,8.595185,-0.106870,-0.091603,0.000000,-9.480778,-21.641347,133.644424
66886,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.177106,-0.414197,8.377312,-0.076336,-0.015267,-0.015267,-9.489663,-21.500501,133.642898
66987,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.341109,-0.427365,8.552089,-0.061069,-0.015267,0.000000,-9.464293,-21.440690,133.642898
67087,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.143587,-0.317232,8.995017,-0.061069,-0.015267,-0.015267,-9.404707,-21.193740,133.641372
67187,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.088520,-0.148441,8.887277,-0.091603,-0.030534,-0.015267,-9.384895,-21.030076,133.639846
67287,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.083732,-0.318429,8.678981,-0.030534,0.030534,-0.015267,-9.416948,-20.904609,133.638320
67387,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.096900,-0.181959,8.650251,-0.045802,0.030534,-0.015267,-9.418045,-20.866584,133.636795
67487,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.221398,-0.179565,8.626309,-0.061069,-0.015267,0.000000,-9.396767,-20.789804,133.636795
67587,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.075352,-0.169988,8.531738,-0.076336,-0.030534,0.000000,-9.434052,-20.648496,133.636795
67687,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.141193,-0.101754,8.449138,-0.076336,-0.015267,-0.015267,-9.531347,-20.527910,133.635269
67787,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.215413,-0.559046,8.845378,-0.045802,0.015267,-0.015267,-9.587478,-20.422197,133.633743
67887,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.178303,-0.216675,8.550891,-0.091603,-0.015267,-0.015267,-9.609346,-20.395380,133.632217
67987,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.167529,-0.371101,8.625112,-0.045802,0.045802,-0.015267,-9.636878,-20.458938,133.630691
68087,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.271677,-0.108936,8.779538,-0.076336,-0.015267,-0.015267,-9.631289,-20.480810,133.629165
68187,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.325546,-0.440533,8.783129,-0.076336,-0.030534,-0.015267,-9.756928,-20.468992,133.627639
68287,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.277662,-0.355539,8.900445,-0.045802,0.015267,-0.015267,-9.695711,-20.424932,133.626113
68387,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.209427,-0.313640,8.840590,-0.061069,0.015267,-0.015267,-9.702090,-20.382905,133.624588
68487,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.149572,-0.385467,8.540118,-0.045802,0.015267,-0.015267,-9.669954,-20.435871,133.623062
68676,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.252523,-0.307655,8.831013,-0.015267,0.015267,0.000000,-9.624298,-20.378757,133.623062
68776,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.214216,-0.126893,8.535329,-0.015267,0.030534,-0.015267,-9.523851,-20.327114,133.621536
68876,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.179500,-0.251391,8.373721,-0.061069,0.000000,-0.015267,-9.540340,-20.287250,133.620010
68976,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.234566,-0.374693,8.848970,-0.045802,0.015267,-0.015267,-9.516987,-20.177087,133.618484
69076,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.202245,-0.044293,8.552089,-0.076336,-0.015267,-0.015267,-9.518492,-20.149368,133.616958
69176,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.214216,-0.393846,8.358159,-0.061069,-0.015267,-0.015267,-9.483549,-20.195806,133.615432
69276,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.124433,-0.243011,8.535329,-0.076336,-0.015267,-0.015267,-9.486456,-20.137889,133.613906
69376,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.211822,-0.203507,8.700530,-0.076336,-0.015267,-0.015267,-9.414436,-20.102079,133.612380
69476,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.147178,-0.205901,8.366539,-0.106870,-0.045802,-0.015267,-9.432537,-20.025524,133.610855
69576,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.166332,-0.241814,8.674193,-0.076336,-0.015267,-0.015267,-9.445832,-20.027379,133.609329
69676,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.110068,-0.281319,9.091981,-0.045802,0.030534,-0.015267,-9.400093,-19.962533,133.607803
69776,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.001132,-0.339977,8.893262,-0.076336,0.000000,-0.015267,-9.372742,-19.938728,133.606277
69876,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.052607,-0.235829,8.504205,-0.076336,-0.030534,0.000000,-9.363603,-19.948766,133.606277
69976,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.063381,-0.204704,8.840590,-0.076336,-0.015267,-0.015267,-9.356013,-19.891338,133.604751
70076,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.032256,-0.257377,8.687361,-0.076336,-0.015267,-0.015267,-9.387902,-19.854335,133.603225
70176,55.591304,37.673225,2.155522,-1.642488,1.395891,-2.974796,-0.372298,8.713698,-0.076336,-0.015267,-0.015267,-9.406315,-19.826211,133.601699
70276,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.125630,-0.138864,9.006987,-0.045802,0.030534,0.000000,-9.335569,-19.816110,133.601699
70376,55.591304,37.673225,2.155522,-1.642488,1.395891,-2.978387,-0.128090,8.554483,-0.091603,-0.015267,-0.030534,-9.304849,-19.822687,133.598648
70476,55.591304,37.673225,2.155522,-1.642488,1.395891,-3.118448,-0.235829,8.773552,-0.076336,-0.015267,-0.015267,-9.443153,-19.825456,133.597122
70576,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.051410,-0.312443,8.772356,-0.061069,-0.030534,-0.015267,-9.421092,-19.781711,133.595596
70695,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.065775,-0.238223,8.850167,-0.076336,-0.030534,-0.015267,-9.377593,-19.616878,133.593780
70795,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.940080,-0.237026,8.696938,-0.061069,0.015267,-0.015267,-9.440414,-19.460212,133.592254
70895,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.003526,-0.154426,8.689756,-0.061069,0.015267,-0.015267,-9.614698,-19.295873,133.590728
70995,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.975993,-0.533907,8.511387,-0.045802,-0.015267,-0.015267,-9.695009,-19.217754,133.589202
71095,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.014300,-0.198719,8.694544,-0.045802,0.030534,-0.015267,-9.687098,-19.066644,133.587677
71195,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.038242,-0.529119,8.640674,-0.061069,0.000000,0.000000,-9.799441,-19.017034,133.587677
71296,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.929306,-0.513556,8.476672,-0.106870,-0.061069,0.000000,-10.044035,-18.942617,133.587677
71396,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.003526,-0.714669,9.105150,-0.076336,-0.045802,0.000000,-10.196228,-18.863042,133.587677
71496,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.961627,-0.503979,8.905234,-0.061069,0.015267,0.000000,-10.156781,-18.891811,133.587677
71596,55.591163,37.673362,2.155522,-1.642488,1.395891,-3.034651,-0.590171,8.514979,-0.076336,-0.015267,0.015267,-10.193721,-19.006567,133.589202
71696,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.900575,-0.524330,8.641872,-0.091603,-0.045802,0.000000,-10.206935,-18.901449,133.589202
71796,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.782062,-0.436942,8.544906,-0.091603,-0.061069,0.000000,-10.242751,-18.674957,133.589202
71896,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.776077,-0.648829,8.939949,-0.030534,0.000000,0.000000,-10.191246,-18.432420,133.589202
71996,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.614468,-0.544681,8.796298,-0.045802,0.015267,0.015267,-10.251372,-18.262937,133.590728
72096,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.608483,-0.463278,9.071631,-0.030534,0.030534,0.000000,-10.175369,-18.117193,133.590728
72196,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.609680,-0.399832,8.925584,-0.045802,-0.030534,0.000000,-10.068164,-17.975618,133.590728
72296,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.682703,-0.367510,9.039309,-0.045802,0.000000,0.015267,-10.031653,-17.829784,133.592254
72396,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.615665,-0.374693,8.732851,-0.045802,0.000000,0.000000,-9.976985,-17.758735,133.592254
72496,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.582147,-0.447716,8.628704,-0.045802,0.000000,0.000000,-9.901439,-17.666528,133.592254
72680,55.591163,37.673362,2.155522,-1.642488,1.395891,nan,nan,nan,nan,nan,nan,nan,nan,133.592254
72780,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.572570,-0.220267,8.840590,-0.076336,-0.015267,-0.015267,-9.796419,-17.408519,133.587921
72880,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.701857,-0.418985,8.753202,-0.076336,-0.030534,0.000000,-9.796066,-17.406948,133.587921
72980,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.753332,-0.073023,9.059659,-0.061069,0.045802,-0.030534,-9.664976,-17.283342,133.584869
73080,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.597709,-0.299275,9.022549,-0.061069,0.015267,-0.015267,-9.652925,-17.160114,133.583343
73180,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.597709,-0.324414,8.939949,-0.061069,-0.015267,-0.015267,-9.678186,-17.151536,133.581817
73280,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.633622,-0.276530,8.503007,-0.061069,0.000000,-0.015267,-9.649123,-17.117275,133.580291
73380,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.584541,-0.113725,8.902839,-0.061069,-0.015267,-0.030534,-9.544378,-16.856498,133.577239
73480,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.351106,-0.022745,9.001002,-0.091603,-0.076336,-0.015267,-9.477162,-16.557207,133.575714
73580,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.408567,-0.126893,8.711303,-0.061069,0.030534,-0.030534,-9.348785,-16.408290,133.572662
73680,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.329558,0.026336,8.664616,-0.106870,-0.091603,-0.015267,-9.349457,-16.279994,133.571136
73780,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.407370,-0.056264,9.289503,-0.061069,-0.030534,-0.030534,-9.233224,-16.115537,133.568084
73880,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.367866,0.019154,9.490616,-0.030534,0.000000,-0.015267,-9.130332,-15.927079,133.566558
73980,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.202666,-0.161609,8.908825,-0.045802,0.030534,-0.030534,-9.041085,-15.881798,133.563507
74080,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.384625,0.004788,8.825028,-0.030534,0.015267,-0.030534,-8.841910,-15.882469,133.560455
74180,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.571372,0.177171,8.823831,-0.061069,0.000000,-0.030534,-8.744449,-15.837016,133.557403
74280,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.540248,0.047884,9.063251,-0.061069,-0.045802,-0.030534,-8.528946,-15.678403,133.554351
74380,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.510320,0.183156,8.728063,-0.061069,-0.015267,-0.030534,-8.267792,-15.592995,133.551300
74480,55.591163,37.673362,2.155522,-1.642488,1.395891,-2.503138,0.411803,8.397663,-0.076336,-0.045802,-0.045802,-7.952904,-15.611198,133.546722
74580,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.566584,0.378284,9.166202,-0.030534,0.015267,-0.061069,-7.743148,-15.471539,133.540618
74703,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.494758,0.418985,8.769961,-0.076336,-0.076336,-0.045802,-7.578911,-15.311424,133.534988
74803,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.491167,0.620098,8.851365,-0.061069,-0.030534,-0.061069,-7.316010,-15.149723,133.528884
74903,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.443283,0.380678,8.814254,-0.045802,-0.015267,-0.061069,-7.076516,-15.034517,133.522781
75003,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.415750,0.687136,8.816648,-0.045802,0.000000,-0.076336,-6.724509,-14.962307,133.515151
75103,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.427721,0.685939,9.039309,-0.015267,0.030534,-0.076336,-6.397836,-14.903107,133.507522
75203,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.298434,0.749385,9.010579,-0.045802,-0.030534,-0.076336,-6.113915,-14.783838,133.499893
75303,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.407370,0.738611,8.993819,-0.061069,-0.030534,-0.076336,-5.775434,-14.757791,133.492263
75403,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.339135,0.848744,8.561666,-0.091603,-0.061069,-0.091603,-5.671317,-14.635893,133.483108
75503,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.388216,0.638055,9.223663,-0.076336,-0.061069,-0.091603,-5.644602,-14.391854,133.473953
75603,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.640805,-0.171185,9.384074,0.076336,0.076336,-0.061069,-5.051056,-14.533852,133.467849
75703,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.515109,0.972046,8.950723,0.030534,0.030534,-0.061069,-4.300424,-14.694454,133.461746
75803,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.440889,1.405396,7.680599,-0.030534,0.045802,-0.091603,-3.757029,-14.998762,133.452590
75904,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.618060,1.448492,8.480263,-0.137405,-0.076336,-0.122137,-3.970475,-14.859749,133.440261
76004,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.807201,0.244209,9.130289,-0.045802,-0.061069,-0.122137,-4.343884,-14.301108,133.428054
76104,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.785654,0.654814,9.465476,-0.045802,-0.045802,-0.091603,-4.304824,-14.007768,133.418899
76204,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.179921,0.767342,8.433576,-0.015267,0.061069,-0.106870,-3.859945,-14.087826,133.408218
76304,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.936488,0.891840,8.912416,-0.015267,0.045802,-0.091603,-3.515037,-14.651000,133.399063
76404,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.790442,0.681150,9.084799,-0.045802,-0.015267,-0.091603,-3.485602,-14.988557,133.389907
76504,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.887407,0.460884,9.418790,0.061069,0.106870,-0.076336,-3.284704,-15.113950,133.382278
76697,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.559401,0.523133,9.239225,-0.076336,-0.122137,-0.076336,-3.371667,-14.544633,133.367538
76797,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.699462,0.605733,8.933964,-0.106870,-0.106870,-0.091603,-3.490938,-14.463243,133.358383
76897,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.888604,0.363919,9.391257,-0.015267,-0.076336,-0.061069,-3.366095,-14.464818,133.352279
76997,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.458845,1.027112,7.376535,-0.061069,-0.030534,-0.076336,-3.014486,-14.782740,133.344650
77097,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.766500,0.853533,8.949526,0.015267,0.061069,-0.061069,-2.756277,-15.026620,133.338546
77197,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.585738,0.483629,8.858547,-0.015267,0.045802,-0.076336,-2.710858,-15.103494,133.330917
77297,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.655170,0.762553,9.362526,-0.030534,0.045802,-0.091603,-2.538769,-15.238362,133.321762
77398,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.571372,0.530316,9.095573,-0.061069,-0.030534,-0.076336,-2.519836,-15.425308,133.314056
77498,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.557007,0.495600,8.713698,-0.061069,-0.015267,-0.076336,-2.556909,-15.650811,133.306427
77598,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.804807,0.535104,8.931570,-0.030534,0.015267,-0.076336,-2.624256,-15.814047,133.298797
77698,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.786851,0.572214,8.809466,-0.061069,-0.015267,-0.076336,-2.690623,-15.858234,133.291168
77798,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.741361,0.543484,8.960300,-0.061069,-0.030534,-0.061069,-2.930629,-15.728653,133.285064
77898,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.730587,0.158017,8.981848,-0.030534,0.030534,-0.076336,-3.201660,-15.558174,133.277435
77998,55.590881,37.673545,2.155522,-1.642488,1.395891,-2.579752,0.326809,8.768764,-0.045802,-0.015267,-0.045802,-3.394787,-15.505502,133.272857
