time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
12843,-16030,-300,-1788,-676,39,6,-3594
12853,-16022,-350,-1742,-696,11,-1,-3597
12863,-16032,-322,-1768,-720,-23,-12,-3593
12873,-15970,-332,-1684,-717,-30,-13,-3590
12883,-15998,-328,-1746,-711,-48,-3,-3594
12893,-16050,-294,-1640,-697,-73,-10,-3599
12903,-16058,-270,-1696,-687,-102,-62,-3592
12913,-15940,-362,-1624,-702,-116,-101,-3593
12923,-16014,-340,-1662,-715,-74,-84,-3595
12933,-16018,-408,-1662,-708,-69,-61,-3593
12943,-16042,-370,-1682,-697,-50,-24,-3596
12953,-16108,-274,-1696,-674,-52,-25,-3596
12963,-15970,-246,-1650,-698,-74,-63,-3594
12973,-16004,-342,-1664,-733,-68,-65,-3596
12983,-16026,-418,-1692,-722,-40,-62,-3597
12993,-16006,-386,-1620,-717,-46,-37,-3603
13003,-16014,-300,-1688,-715,-65,-27,-3601
13014,-16066,-304,-1680,-706,-14,-68,-3599
13024,-16062,-374,-1662,-707,-16,-92,-3603
13034,-16010,-370,-1690,-681,-32,-79,-3598
13044,-15980,-246,-1804,-663,-11,-45,-3595
13054,-15994,-256,-1808,-701,-47,-31,-3592
13064,-15998,-372,-1724,-741,-69,-27,-3595
13074,-16048,-354,-1718,-735,-70,-18,-3597
13084,-15956,-356,-1700,-733,-81,-11,-3594
13094,-16028,-298,-1670,-709,-97,7,-3595
13104,-16052,-170,-1676,-687,-87,5,-3600
13114,-16114,-156,-1634,-656,-81,-43,-3601
13124,-16106,-270,-1740,-606,-95,-140,-3596
13134,-15626,-692,-1532,-681,-95,-211,-3598
13144,-16260,-138,-1928,-702,21,-27,-3595
13154,-15986,-448,-1794,-711,-35,-122,-3597
13164,-15884,-416,-1664,-721,-124,-146,-3600
13174,-16018,-450,-1762,-718,-25,-10,-3600
13184,-15970,-432,-1754,-742,-23,45,-3597
13194,-16056,-262,-1890,-770,-38,74,-3605
13204,-16044,-204,-1690,-814,-107,65,-3599
13214,-15986,-240,-1610,-811,-115,13,-3602
13224,-16072,-278,-1444,-772,-61,-8,-3602
13234,-16038,-290,-1540,-734,-42,-38,-3597
13244,-16070,-222,-1648,-708,-43,-34,-3602
13254,-16010,-242,-1588,-686,-54,-62,-3597
13264,-16000,-316,-1734,-671,-25,-97,-3596
13274,-16014,-266,-1844,-673,-23,-117,-3598
13284,-15958,-432,-1722,-693,-72,-143,-3596
13294,-16002,-390,-1712,-721,-56,-95,-3599
13304,-15992,-410,-1736,-727,-40,-42,-3594
